#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
msrB|msrC	NE	NE|NE
arnC	NE	NE
arnT	NE	NE
lpxT	NE	NE
pgpB|ybjG|bacA	NE	NE|NE|NE
menC	NE	NE
menH	NE	NE
glgX	NE	NE
epmB	NE	NE
wbbI	NE	NE
mngB	NE	NE
amiD|ampD	NE	NE|NE
ampG	NE	NE
mepS|ldcA	NE	NE|NE
lgoD	NE	NE
lgoT	NE	NE
waaL	NE	NE
rbsD	NE	NE
rhaM	NE	NE
nanM	NE	NE
nanA	NE	NE
nanC	NE	NE
nanT	NE	NE
malQ	NE	NE
ytfG	NE	NE
ybiS|ycfS|erfK	NE	NE|NE|NE
mepS|mepH|mepM|ampH|mepA|pbpG|dacB	NE	NE|NE|NE|NE|NE|NE|NE
ynhG|ycbB	NE	NE|NE
mepA	NE	NE
arnE&arnF	NE	NE&NE
pgaD&pgaC	NE	NE&NE
pgaA	NE	NE
yicI	NE	NE
hinT	NE	NE
ycjG	NE	NE
tsaB	E	E
purE	E	E
tehA	NE	NE
ugpQ	NE	NE
mpaA	NE	NE
tonB&exbB&exbD&fhuA	NE	NE&NE&NE&NE
rbn	NE	NE
rnb|pnp	NE	NE|NE
rnd|rnt	NE	NE|NE
rnpB&rnpA	E	rnpB&E
rph	NE	NE
paaG	NE	NE
phnP	NE	NE
lsrG	NE	NE
phnM	NE	NE
cirA|fiu	NE	NE|NE
fes	E	E
yqjH	NE	NE
bglA	NE	NE
chbF	NE	NE
yqjG	NE	NE
fsr	NE	NE
fhuE	NE	NE
murP&crr	NE	NE&NE
murQ	NE	NE
murP	NE	NE
abgB&abgA	NE	NE&NE
abgT	NE	NE
nemA	NE	NE
waaS	NE	NE
glgP	NE	NE
norW	NE	NE
yieF	NE	NE
caiD	NE	NE
casA&casB&casC&casD&casE	NE	NE&NE&NE&NE&NE
ndh	NE	NE
ggt	NE	NE
pepN|pepB|pepA|pepD	NE	NE|NE|NE|NE
iscS	E	E
sufS|iscS	NE	NE|E
rihC|rihB|rihA	NE	NE|NE|NE
codB	NE	NE
zwf	E	E
ddpX	NE	NE
ampH|yfeW|dacC|dacD|dacA	NE	NE|NE|NE|NE|NE
dadX|alr	NE	NE|NE
ldcA	NE	NE
rpiB	NE	NE
alsE	NE	NE
lpcA	NE	NE
uxaB	NE	NE
gmhB	NE	NE
hisB	E	E
gudP|garP	NE	NE|NE
dgoT	NE	NE
exuT	NE	NE
murI	E	E
glmM	E	E
glmS	E	E
nagE|manZ&manY&manX	NE	NE|NE&NE&NE
dld	NE	NE
glcA|lldP	NE	NE|NE
hchA	NE	NE
ldhA	NE	NE
yeiG|gloB	NE	NE|NE
uxuB	NE	NE
suhB	E	E
rihB	NE	NE
fucA	NE	NE
fbaA	E	E
talA|talB	NE	NE|NE
tktB|tktA	NE	NE|NE
dsdX	NE	NE
mtlA|gatC&gatB&gatA|srlA&srlB&srlE	NE	NE|NE&NE&NE|NE&NE&NE
dcuB	NE	NE
fumB	NE	NE
xylA	NE	NE
xylE	NE	NE
nth	NE	NE
nudB	NE	NE
phoA|yfbR	NE	NE|NE
nudI	NE	NE
yfaU	NE	NE
yfaW	NE	NE
dgoA	NE	NE
ispB	E	E
ispU	E	E
deoA	NE	NE
deoB	NE	NE
nrdE|nrdA	NE	NE|E
aphA|ushA|yfdR|yfbR	NE	NE|NE|NE|NE
tatD|sbcB	NE	NE|NE
polA|umuC&umuD|polB|dnaE|dinB	NE	E|NE&NE|NE|E|NE
dgt	NE	NE
phoA|umpG	NE	NE|NE
yfbR	NE	NE
pyrD	E	E
preT&preA	NE	NE&NE
lgt	E	E
lnt	E	E
pgpB	NE	NE
eptB	NE	NE
opgB	NE	NE
ribA	E	E
entB	NE	NE
lpd	E	E
folM|folA	NE	NE|E
thyA	E	E
folX	NE	NE
folE	E	E
dhaM&dhaK&dhaL	NE	NE&NE&NE
fbaB|fbaA	NE	NE|E
gatY&gatZ|kbaY&kbaZ	NE	NE&NE|NE&NE
glpA&glpB&glpC	NE	NE&NE&NE
glpD	NE	NE
gpsA	E	E
mgsA	NE	NE
nadA	E	E
rhaD	E	E
tpiA	NE	NE
ribB	E	E
fsaB|fsaA	NE	NE|NE
rdgB	NE	NE
dcp	NE	NE
